#domain
hospital
#levelname
MATheZoo
#colors
blue: 0, 4, A
green: 1, 2, B
purple: 3, 8, C
orange: 5, D
pink: 6, 9, Y, X
red: 7
#initial
++++++++++++++++++++++++++
+0       ++1 + + 6       +
+        +  ++B+        X+
+        ++ ++ +        Y+
+              + 9       +
+++++++++++ ++++++++++++++
++++++D++++ +++++++ C  +++
++++++ ++++ +++++++ ++ +++
+4A       + +2 C+C+ ++   +
+         +A+   +      + +
+A        +++B 3+ + +    +
+A        +8+++++ + +    +
+5A       +        7    ++
++++++++++++++++++++++++++
#goal
++++++++++++++++++++++++++
+0       ++ A+B+        X+
+        + 1++ +6        +
+        ++ ++ +9        +
+              +        Y+
+++++++++++ ++++++++++++++
++++++ ++++ +++++++    +++
++++++ ++++ +++++++ ++ +++
+4  A     + +C 3+7+ ++  8+
+   A     + +   +      + +
+        D+++2 B+ + +    +
+   A     + +++++ + +    +
+5  A     +C            ++
++++++++++++++++++++++++++
#end
#clientname
vAIkings
#actions
199803902:Move(S);NoOp;Move(S);Move(N);Push(E,E);NoOp;Move(S);NoOp;Move(S);NoOp
48161460808:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp
48280106859:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;Move(W);Move(E);NoOp
48385131209:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;Move(N);NoOp
48477716202:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;Move(N);NoOp
48605660724:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp
48702314310:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;Move(E);Move(S);NoOp
48797268365:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;Move(S);NoOp
48893124257:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;Move(W);Move(W);NoOp
48989843797:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp
49129352255:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp
49224707018:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;Move(E);NoOp;NoOp
49316796765:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp
49440994001:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;Move(W);Move(E);NoOp
49533186480:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;Move(N);NoOp
49624816391:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;Move(N);NoOp
49740750222:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp
49834796124:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;Move(E);Move(S);NoOp
49934669002:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;Move(S);NoOp
50030203545:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;Move(W);Move(W);NoOp
50122052750:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp
50268090932:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp
50361700294:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;Move(E);NoOp;NoOp
50454663334:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp
50573403371:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;Move(W);Move(E);NoOp
50671959270:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;Move(N);NoOp
50769586544:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;Move(N);NoOp
50885223830:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp
50979649108:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;Move(E);Move(S);NoOp
51073301367:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;Move(S);NoOp
51168482020:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;Move(W);Move(W);NoOp
51278021052:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp
51427035984:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp
51520967389:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;Move(E);NoOp;NoOp
51613453351:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp
51740442081:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;Move(W);Move(E);NoOp
51832118942:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;Move(N);NoOp
51925328075:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;Move(N);NoOp
52042990781:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp
52136674758:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;Move(E);Move(S);NoOp
52231851323:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;Move(S);NoOp
52325622990:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;Move(W);Move(W);NoOp
52416331665:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp
52554361561:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp
52650737598:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;Move(E);NoOp;NoOp
52745079490:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp
52869644144:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;Move(W);Move(E);NoOp
52963512080:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;Move(N);NoOp
53054842579:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;Move(N);NoOp
53169642839:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp
53264331505:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;Move(E);Move(S);NoOp
53358375406:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;Move(S);NoOp
53453727988:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;Move(W);Move(W);NoOp
53545624583:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp
53684665667:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp
53781482209:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;Move(E);NoOp;NoOp
53872055972:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp
54001189626:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;Move(W);Move(E);NoOp
54099448278:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;Move(N);NoOp
54190530059:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;Move(N);NoOp
54309048973:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp
54407464908:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;Move(E);Move(S);NoOp
54502830812:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;Move(S);NoOp
54597598650:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;Move(W);Move(W);NoOp
54689682658:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp
54830990254:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp
54930085189:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;Move(E);NoOp;NoOp
55024969425:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp
55147622560:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;Move(W);Move(E);NoOp
55239320715:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;Move(N);NoOp
55335437678:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;Move(N);NoOp
55453195057:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp
55547469545:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;Move(E);Move(S);NoOp
55641359418:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;Move(S);NoOp
55736257384:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;Move(W);Move(W);NoOp
55828208605:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp
55968259821:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp
56060224105:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;Move(E);NoOp;NoOp
56150611475:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp
56274313689:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;Move(W);Move(E);NoOp
56368510778:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;Move(N);NoOp
56459195009:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;Move(N);NoOp
56574786527:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp
56673218271:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;Move(E);Move(S);NoOp
56768896687:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;Move(S);NoOp
56865453446:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;Move(W);Move(W);NoOp
56957456322:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp
57096613698:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp
57188889359:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;Move(E);NoOp;NoOp
57281451004:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp
57401320481:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;Move(W);Move(E);NoOp
57499401076:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;Move(N);NoOp
57590189915:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;Move(N);NoOp
57704063586:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp
57799448220:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;Move(E);Move(S);NoOp
57893570069:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;Move(S);NoOp
57997650562:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;Move(W);Move(W);NoOp
58088039602:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp
58228974170:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp
58321404581:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;Move(E);NoOp;NoOp
58413426951:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp
58536920818:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;Move(W);Move(E);NoOp
58631300653:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;Move(N);NoOp
58722907916:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;Move(N);NoOp
58839465153:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp
58934287053:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;Move(E);Move(S);NoOp
59030486411:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;Move(S);NoOp
59126466482:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;Move(W);Move(W);NoOp
59225540887:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp
59383962028:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp
59476911874:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;Move(E);NoOp;NoOp
59569957787:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp
59696786206:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;Move(W);Move(E);NoOp
59795115200:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;Move(N);NoOp
59888183743:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;Move(N);NoOp
60005278842:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp
60101590526:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;Move(E);Move(S);NoOp
60197791859:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;Move(S);NoOp
60296396483:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;Move(W);Move(W);NoOp
60394414210:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp
60535257550:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp
60629898194:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;Move(E);NoOp;NoOp
60726276358:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp
60852314100:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;Move(W);Move(E);NoOp
60945786598:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;Move(N);NoOp
61042016320:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;Move(N);NoOp
61159861491:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp
61258330032:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;Move(E);Move(S);NoOp
61359225944:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;Move(S);NoOp
61455550367:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;Move(W);Move(W);NoOp
61548997455:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp
61694268766:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp
61788071492:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;Move(E);NoOp;NoOp
61882645437:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp
62003828027:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;Move(W);Move(E);NoOp
62105050919:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;Move(N);NoOp
62200503653:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;Move(N);NoOp
62318150294:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp
62412276136:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;Move(E);Move(S);NoOp
62506697916:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;Move(S);NoOp
62602506013:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;Move(W);Move(W);NoOp
62693991069:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp
62840278624:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp
62933027046:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;Move(E);NoOp;NoOp
63024288045:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp
63146348902:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;Move(W);Move(E);NoOp
63238949615:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;Move(N);NoOp
63329945528:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;Move(N);NoOp
63452908159:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp
63547437603:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;Move(E);Move(S);NoOp
63641096934:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;Move(S);NoOp
63736510106:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;Move(W);Move(W);NoOp
63828887820:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp
63971227862:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp
64068644640:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;Move(E);NoOp;NoOp
64160637872:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp
64279747031:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;Move(W);Move(E);NoOp
64377884180:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;Move(N);NoOp
64468766523:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;Move(N);NoOp
64585040845:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp
64682078547:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;Move(E);Move(S);NoOp
64775850616:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;Move(S);NoOp
64874975513:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;Move(W);Move(W);NoOp
64964989830:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp
65103402247:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp
65196806866:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;Move(E);NoOp;NoOp
65292876887:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp
65415874310:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;Move(W);Move(E);NoOp
65507193641:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;Move(N);NoOp
65599012046:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;Move(N);NoOp
65713105151:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp
65806482059:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;Move(E);Move(S);NoOp
65903967574:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;Move(S);NoOp
65997961082:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;Move(W);Move(W);NoOp
66088539761:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp
66231724737:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp
66330326227:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;Move(E);NoOp;NoOp
66422268425:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp
66546511554:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;Move(W);Move(E);NoOp
66637736925:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;Move(N);NoOp
66729294808:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;Move(N);NoOp
66846619929:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp
66941575459:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;Move(E);Move(S);NoOp
67034805145:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;Move(S);NoOp
67129138915:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;Move(W);Move(W);NoOp
67221818809:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp
67362123303:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp
67454059243:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;Move(E);NoOp;NoOp
67549523147:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp
67670319051:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;Move(W);Move(E);NoOp
67768217626:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;Move(N);NoOp
67860869575:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;Move(N);NoOp
67977250305:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp
68070826690:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;Move(E);Move(S);NoOp
68165713134:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;Move(S);NoOp
68265672915:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;Move(W);Move(W);NoOp
68356977275:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp
68496674935:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp
68590046713:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;Move(E);NoOp;NoOp
68681933516:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp
68807093187:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;Move(W);Move(E);NoOp
68914804586:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;Move(N);NoOp
69007652455:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;Move(N);NoOp
69123457993:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp
69218407057:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;Move(E);Move(S);NoOp
69314793367:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;Move(S);NoOp
69410661394:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;Move(W);Move(W);NoOp
69506811235:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp
69645117033:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp
69737000514:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;Move(E);NoOp;NoOp
69828053816:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp
69951693114:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;Move(W);Move(E);NoOp
70045452674:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;Move(N);NoOp
70135785099:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;Move(N);NoOp
70256945779:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp
70351957360:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;Move(E);Move(S);NoOp
70446594023:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;Move(S);NoOp
70542324826:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;Move(W);Move(W);NoOp
70635744654:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp
70776043824:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp
70869748287:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;Move(E);NoOp;NoOp
70963567157:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp
71087024584:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;Move(W);Move(E);NoOp
71178849586:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;Move(N);NoOp
71278105899:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;Move(N);NoOp
71396135156:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp
71489483029:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;Move(E);Move(S);NoOp
71588629445:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;Move(S);NoOp
71683986999:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;Move(W);Move(W);NoOp
71775370881:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp
71921551362:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp
72014510385:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;Move(E);NoOp;NoOp
72105527215:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp
72231964355:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;Move(W);Move(E);NoOp
72324261317:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;Move(N);NoOp
72417062729:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;Move(N);NoOp
72537507946:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp
72632663269:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;Move(E);Move(S);NoOp
72727530300:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;Move(S);NoOp
72823314831:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;Move(W);Move(W);NoOp
72934072666:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp
73076292884:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp
73169416593:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;Move(E);NoOp;NoOp
73262205200:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp
73385799262:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;Move(W);Move(E);NoOp
